"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"36","LMP3","Oliver Askew","43","1:19.101","59:55.291","Green","Track","11.405","29.101","38.595"
"54","LMP3","Colin Braun","43","1:18.258","59:55.889","Green","Track","10.892","28.778","38.588"
"12","GTD","Zach Veach","42","1:21.888","1:00:04.328","Green","Track","11.496","29.983","40.409"
"28","GTD","Michael de Quesada","42","1:22.881","1:00:08.037","Green","Track","11.814","30.169","40.898"
"91","LMP3","Dylan Murry","43","1:18.872","1:00:08.124","Green","Track","11.085","28.929","38.858"
"23","GTD","Ross Gunn","42","1:21.704","1:00:15.521","Green","Track","11.609","29.653","40.442"
"76","GTD","Mario Farnbacher","42","1:21.782","1:00:18.734","Green","Track","11.552","29.787","40.443"
"16","GTD","Patrick Long","42","1:21.905","1:00:24.952","Green","Track","11.499","29.789","40.617"
"66","GTD","Marc Miller","42","1:22.279","1:00:33.475","Green","Track","11.680","30.089","40.510"
"44","GTD","Andy Lally","42","1:22.053","1:00:36.696","Green","Track","11.630","29.867","40.556"
"1","GTD","Madison Snow","43","1:22.767","1:00:41.698","Green","Track","11.636","30.165","40.966"
"9","GTD","Zacharie Robichon","43","1:22.749","1:00:42.203","Green","Track","11.670","29.972","41.107"
"39","GTD","Richard Heistand","43","1:22.901","1:00:43.033","Green","Track","11.656","30.024","41.221"
"33","LMP3","Joao Barbosa","43","1:18.615","1:00:43.796","Green","Track","10.901","29.031","38.683"
"74","LMP3","Felipe Fraga","44","1:18.607","1:00:44.302","Green","Track","10.915","28.930","38.762"
"55","DPi","Harry Tincknell","48","1:12.549","1:00:44.900","Green","Track","9.816","26.626","36.107"
"31","DPi","Felipe Nasr","48","1:13.090","1:00:52.377","Green","Track","9.880","27.137","36.073"
"38","LMP3","Rasmus Lindh","44","1:19.018","1:00:56.245","Green","Track","11.295","29.007","38.716"
"10","DPi","Filipe Albuquerque","48","1:14.157","1:00:58.626","Green","Track","9.918","26.924","37.315"
"5","DPi","Tristan Vautier","48","1:14.319","1:00:59.817","Green","Track","10.009","26.766","37.544"
"14","GTD","Jack Hawksworth","43","1:22.763","1:00:59.849","Green","Track","11.749","30.114","40.900"
"01","DPi","Kevin Magnussen","48","1:13.657","1:01:00.440","Green","Track","9.962","26.812","36.883"
"96","GTD","Robby Foley","43","1:22.765","1:01:03.132","Green","Track","11.574","29.844","41.347"
"60","DPi","Olivier Pla","48","1:12.970","1:01:03.559","Green","Track","9.866","26.695","36.409"
"36","LMP3","Oliver Askew","44","1:18.913","1:01:14.204","Green","Track","10.955","28.977","38.981"
"54","LMP3","Colin Braun","44","1:19.685","1:01:15.574","Green","Track","10.912","28.899","39.874"
"88","GTD","Rob Ferriol","43","1:24.627","1:01:16.390","Green","Track","11.895","30.287","42.445"
"12","GTD","Zach Veach","43","1:21.800","1:01:26.128","Green","Track","11.421","29.978","40.401"
"91","LMP3","Dylan Murry","44","1:19.187","1:01:27.311","Green","Track","11.542","29.118","38.527"
"28","GTD","Michael de Quesada","43","1:23.406","1:01:31.443","Green","Track","11.900","30.466","41.040"
"23","GTD","Ross Gunn","43","1:21.508","1:01:37.029","Green","Track","11.570","29.675","40.263"
"76","GTD","Mario Farnbacher","43","1:21.780","1:01:40.514","Green","Track","11.536","29.780","40.464"
"16","GTD","Patrick Long","43","1:22.127","1:01:47.079","Green","Track","11.509","30.000","40.618"
"66","GTD","Marc Miller","43","1:22.023","1:01:55.498","Green","Track","11.566","30.040","40.417"
"44","GTD","Andy Lally","43","1:22.110","1:01:58.806","Green","Track","11.489","30.051","40.570"
"55","DPi","Harry Tincknell","49","1:14.438","1:01:59.338","Green","Track","10.403","27.699","36.336"
"1","GTD","Madison Snow","44","1:22.844","1:02:04.542","Green","Track","11.600","30.120","41.124"
"33","LMP3","Joao Barbosa","44","1:21.609","1:02:05.405","Green","Track","11.088","29.388","41.133"
"74","LMP3","Felipe Fraga","45","1:21.222","1:02:05.524","Green","Track","10.978","29.450","40.794"
"9","GTD","Zacharie Robichon","44","1:23.437","1:02:05.640","Green","Track","11.729","29.959","41.749"
"31","DPi","Felipe Nasr","49","1:13.332","1:02:05.709","Green","Track","9.879","26.669","36.784"
"39","GTD","Richard Heistand","44","1:23.686","1:02:06.719","Green","Track","11.745","30.590","41.351"
"10","DPi","Filipe Albuquerque","49","1:13.109","1:02:11.735","Green","Track","9.949","26.696","36.464"
"5","DPi","Tristan Vautier","49","1:14.140","1:02:13.957","Green","Track","10.096","26.829","37.215"
"01","DPi","Kevin Magnussen","49","1:14.083","1:02:14.523","Green","Track","10.195","26.855","37.033"
"38","LMP3","Rasmus Lindh","45","1:19.540","1:02:15.785","Green","Track","10.848","29.008","39.684"
"60","DPi","Olivier Pla","49","1:13.478","1:02:17.037","Green","Track","10.220","26.714","36.544"
