"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"2","P","Scott Sharp","3","1:18.650","4:28.603","Green","Track","3.908","6.643","4.105","8.059","7.054","1.848","0.497","6.705","15.259","14.489","5.645","4.438","164.624"
"54","P","Jonathan Bennett","3","1:19.996","4:34.470","Green","Track","3.992","6.691","4.233","8.415","7.014","1.817","0.488","7.273","14.935","14.867","5.711","4.560","167.660"
"911","GTLM","Nick Tandy","3","1:21.200","4:34.816","Green","Track","4.161","7.042","4.284","8.229","7.462","1.957","0.525","7.338","15.069","14.962","5.650","4.521","155.844"
"912","GTLM","Earl Bamber","3","1:20.053","4:35.523","Green","Track","4.190","7.042","4.310","8.184","7.469","1.948","0.523","6.910","14.719","14.813","5.492","4.453","156.440"
"25","GTLM","Alexander Sims","3","1:20.231","4:36.113","Green","Track","4.154","7.142","4.300","8.128","7.377","1.909","0.512","7.088","14.840","14.764","5.584","4.433","159.801"
"3","GTLM","Antonio Garcia","3","1:20.344","4:36.863","Green","Track","4.176","7.071","4.376","8.250","7.513","1.943","0.520","6.914","14.704","14.925","5.466","4.486","157.343"
"24","GTLM","John Edwards","3","1:20.327","4:37.214","Green","Track","4.140","7.136","4.387","8.203","7.423","1.912","0.513","6.990","14.675","15.015","5.439","4.494","159.490"
"66","GTLM","Dirk Mueller","3","1:20.761","4:38.721","Green","Track","4.273","7.045","4.370","8.316","7.536","1.945","0.522","7.291","14.721","14.704","5.478","4.560","156.740"
"67","GTLM","Ryan Briscoe","3","1:21.240","4:39.718","Green","Track","4.234","7.163","4.362","8.461","7.495","1.921","0.516","7.164","14.847","14.954","5.470","4.653","158.562"
"85","P","Robert Alon","3","1:19.004","4:39.850","Green","Track","3.963","6.751","4.206","8.237","6.908","1.791","0.482","7.200","14.904","14.598","5.537","4.427","169.747"
"4","GTLM","Tommy Milner","3","1:21.601","4:40.374","Green","Track","4.236","7.136","4.359","8.397","7.444","1.909","0.511","7.249","14.936","15.270","5.655","4.499","160.114"
"15","GTD","Jack Hawksworth","3","1:21.723","4:41.117","Green","Track","4.259","7.284","4.338","8.283","7.662","1.991","0.532","7.065","14.997","15.039","5.694","4.579","153.794"
"14","GTD","Kyle Marcelli","3","1:22.064","4:42.058","Green","Track","4.253","7.406","4.494","8.391","7.633","1.971","0.528","6.977","14.984","15.147","5.762","4.518","154.959"
"86","GTD","Katherine Legge","3","1:22.501","4:43.762","Green","Track","4.300","7.491","4.368","8.420","7.662","1.992","0.534","7.030","15.158","15.256","5.736","4.554","153.218"
"48","GTD","Madison Snow","3","1:22.411","4:44.168","Green","Track","4.335","7.392","4.442","8.405","7.640","1.979","0.531","7.069","15.078","15.306","5.657","4.577","154.083"
"96","GTD","Dillon Machavern","3","1:22.575","4:44.644","Green","Track","4.372","7.363","4.425","8.513","7.507","1.943","0.521","7.176","15.230","15.234","5.745","4.546","157.041"
"93","GTD","Justin Marks","3","1:22.708","4:45.147","Green","Track","4.318","7.415","4.340","8.483","7.602","1.970","0.527","7.107","15.304","15.337","5.681","4.624","155.253"
"58","GTD","Christina Nielsen","3","1:25.031","4:49.129","Green","Track","4.354","7.529","4.417","8.516","7.705","1.994","0.534","7.109","15.805","16.404","5.905","4.759","153.218"
"63","GTD","Cooper MacNeil","3","1:24.905","4:49.361","Green","Track","4.371","7.376","4.418","8.673","7.682","1.990","0.532","7.098","15.642","16.438","5.948","4.737","153.794"
"16","GTD","Michael Schein","3","1:24.905","4:49.684","Green","Track","4.406","7.600","4.453","8.663","7.668","1.992","0.534","7.074","15.463","16.231","6.118","4.703","153.218"
"33","GTD","Ben Keating","3","1:24.896","4:50.033","Green","Track","4.375","7.478","4.483","8.812","7.691","1.983","0.532","6.985","15.508","16.090","6.251","4.708","153.794"
"44","GTD","John Potter","3","1:24.817","4:50.456","Green","Track","4.395","7.406","4.458","8.618","7.826","2.008","0.537","7.070","15.348","16.042","6.261","4.848","152.362"
"75","GTD","Kenny Habul","3","1:24.765","4:50.637","Green","Track","4.341","7.632","4.469","8.661","7.703","1.989","0.533","7.294","15.616","15.512","6.193","4.822","153.505"
"7","P","Helio Castroneves","4","1:14.538","5:29.853","Green","Track","3.824","6.210","3.984","7.862","6.920","1.807","0.487","6.633","13.779","13.667","5.184","4.181","168.004"
"6","P","Dane Cameron","4","1:14.644","5:30.357","Green","Track","3.871","6.259","3.984","7.969","6.894","1.799","0.485","6.616","13.746","13.624","5.178","4.219","168.697"
"77","P","Oliver Jarvis","4","1:14.926","5:31.178","Green","Track","3.814","6.328","4.006","7.956","6.970","1.833","0.494","6.620","13.819","13.613","5.205","4.268","165.624"
"55","P","Jonathan Bomarito","4","1:14.874","5:31.768","Green","Track","3.833","6.365","4.048","7.939","6.947","1.826","0.492","6.664","13.786","13.606","5.183","4.185","166.297"
"10","P","Renger Van Der Zande","4","1:15.358","5:33.437","Green","Track","3.930","6.471","4.051","7.845","7.109","1.858","0.500","6.579","13.720","13.714","5.412","4.169","163.636"
"5","P","Joao Barbosa","4","1:15.296","5:34.949","Green","Track","3.900","6.422","4.001","7.813","7.065","1.846","0.497","6.680","13.670","13.859","5.315","4.228","164.624"
"52","P","Gustavo Yacaman","4","1:15.296","5:35.838","Green","Track","3.925","6.471","3.956","7.754","6.948","1.815","0.489","6.541","13.962","13.854","5.348","4.233","167.317"
"99","P","Misha Goikhberg","4","1:15.389","5:36.399","Green","Track","3.837","6.491","3.991","7.908","6.908","1.793","0.480","6.639","13.870","13.836","5.381","4.255","170.455"
"38","P","James French","4","1:16.170","5:38.547","Green","Track","3.875","6.405","4.084","8.158","6.990","1.804","0.484","6.921","14.003","13.766","5.471","4.209","169.046"
